issn,journal,subject,ft2016,cnrs2020,den2021,hceres2021,meta2023,ajg_abs2024,ejl2024,scopus2024,vhb2024,abdc2025,fnege2025
0305-0548,Computers and Operations Research,"OR,MS,POM",,2,1,A,B,3,P,8.6,B,A,
0305-5736,Policy and Politics,PSM,,2,2,A,B,3,EP,7.9,,A,3
0305-7410,China Quarterly,Economics,,,2,,,2,EP*,3.2,,A,
0305-750X,World Development,Economics [Range highest to,,1,2,A,,3,EP*,12.7,,A*,2
0305-9049,Oxford Bulletin of Economics and Statistics,Economics,,2,1,A,,3,,5.1,,A,
0306-3070,Journal of General Management,Gen & Strat,,,1,C,,1,,2.6,C,C,4
0306-3127,Social Studies of Science,Innovation,,,2,,,2,EP*,5.7,,,
0306-4379,Information Systems,"MIS, KM",,,2,,,,,9.4,B,,
0306-4573,Information Processing and Management,"MIS, KM",,,2,,B,2,S,17.0,,,3
0306-686X,Journal of Business Finance and Accounting,F&A,,2,2,A,B,3,P,4.4,B,A*,2
0306-8293,International Journal of Social Economics,Economics,,,1,B,,1,,3.2,,B,
0307-3378,Bulletin of Economic Research,Economics,,3,1,B,,2,,1.4,,B,
0307-4358,Managerial Finance,F&A,,4,1,C,,1,,3.3,C,B,4
0307-5079,Studies in Higher Education,Education,,,2,,,3,EP,10.2,A,A,3
0308-5147,Economy and Society,Economics,,2,2,A,,3,,6.3,,A,3
0308-518X,Environment and Planning A,PSM,,2,2,A,B,3,EP,9.5,,A*,2
0308-5961,Telecommunications Policy,"MIS, KM",,4,1,C,,1,,10.8,C,,4
0308-597X,Marine Policy,Economics,,,2,,,2,EP*,7.6,,A,4
0309-0566,European Journal of Marketing,Marketing,,3,2,B,B,3,S,6.9,B,A*,2
0309-1317,International Journal of Urban and Regional Research,Sociology,,3,2,B,,2,,6.7,,B,3
0309-1325,Progress in Human Geography,Sociology,,,2,,,3,EP*,16.4,,,
0309-166X,Cambridge Journal of Economics,Economics,,2,2,A,,3,,4.3,,A,
0309-8168,Capital and Class,Sociology,,,1,B,,2,,3.8,,B,
0312-8962,Australian Journal of Management,Gen & Strat,,,1,,,2,,10.6,C,A,4
0313-6647,Australian Journal of Public Administration,PSM,,,1,,,2,,4.4,C,A,4
0338-4551,Revue Francaise de Gestion,Gen & Strat,,3,1,A,,,,0.6,,,2
0340-0727,Psychological Research,Psychology,,,2,,,3,,5.1,,A,
0347-0520,Scandinavian Journal of Economics,Economics,,2,2,A,,3,,2.5,,A,3
0360-0300,ACM Computing Surveys,"MIS, KM",,,2,,,,EP*,33.2,A,,
0360-0572,Annual Review of Sociology,Sociology,,,2,,,4*,EP*,18.7,,A*,2
0360-3989,Human Communication Research,Comm,,,2,,,,EP,8.2,,,
0360-8352,Computers and Industrial Engineering,"OR,MS,POM",,3,1,B,,2,S,12.7,B,A,3
0361-3682,"Accounting, Organizations and Society",F&A,1,1,2,A,A,4*,P*,7.8,A+,A*,1*
0361-6843,Psychology of Women Quarterly,"OS/OB,HRM/IR",,,1,,B,3,EP*,6.1,,A,
0363-0129,SIAM Journal on Control and Optimization,"OR,MS,POM",,,2,,,,EP,4.0,,,
0363-7425,Academy of Management Review,Gen & Strat,1,1*,2,A,A+,4*,P*,24.6,A+,A*,1*
0364-765X,Mathematics of Operations Research,"OR,MS,POM",,1,2,A,B,3,,3.4,A,A,
0377-2217,European Journal of Operational Research,"OR,MS,POM",,1,1,A,A,4,P,11.9,A,A*,1
0377-7332,Empirical Economics,Economics,,4,1,C,,2,,4.4,,A,
0378-4266,Journal of Banking and Finance,F&A,,2,2,A,A,3,P,6.4,A,A*,1
0378-5920,World Economy,Economics,,2,1,A,,2,,4.5,C,A,
0378-7206,Information and Management,"MIS, KM",,2,2,A,A,3,P,17.9,B,A*,1
0391-5115,Journal of European Economic History,Economics,,4,,C,,1,,0.4,,B,
0515-0361,Astin Bulletin,F&A,,3,2,B,B,2,,3.2,C,A*,3
0570-1864,Annals of Regional Science,Economics,,2,1,A,,2,,3.6,,B,
0730-8884,Work and Occupations,"OS/OB,HRM/IR",,3,2,B,B,3,EP,5.9,B,A,3
0732-2399,Marketing Science,Marketing,1,1,2,A,A+,4*,P*,8.6,A+,A*,1*
0732-8516,Financial Review,F&A,,4,1,B,B,3,,3.3,B,A,3
0733-558X,Research in the Sociology of Organizations,Sociology,,3,1,,B,3,,4.9,B,B,
0734-306X,Journal of Labor Economics,Economics,,1,2,A,A,4,EP,6.4,A,A*,1
0734-9149,Public Administration Quarterly,PSM,,,1,,,1,,1.1,C,A,4
0735-0015,Journal of Business and Economic Statistics,Economics,,1,2,A,,4,P,5.0,,A*,1
0735-2751,Sociological Theory,Sociology,,,2,,,,EP,6.9,,A,
0735-3766,Journal of Business Logistics,"OR,MS,POM",,2,1,A,B,3,S,14.4,A,A,2
0736-3761,Journal of Consumer Marketing,Marketing,,4,1,C,,1,,5.0,C,A,4
0737-0024,Human-Computer Interaction,"MIS, KM",,,2,,B,1,EP,12.2,B,A,3
0737-4607,Journal of Accounting Literature,F&A,,3,1,B,B,3,,N/A,B,A,3
0737-6782,Journal of Product Innovation Management,Innovation,,1,2,A,A,4,P,17.0,A,A*,1
0739-3172,Issues in Accounting Education,Education,,,1,,,2,,2.6,B,A,
0740-817X,IISE Transactions (Institute of Industrial Engineers),"MIS, KM",,,1,,B,3,P,N/A,A,A,
0741-6261,RAND Journal of Economics,Economics [Range highest to,,1,2,A,A,4,,4.6,A,A*,1
0742-1222,Journal of Management Information Systems,"MIS, KM",1,1,2,A,A,4,P*,10.2,A,A*,1
0742-3322,Advances in Strategic Management,Gen & Strat,,3,1,B,,2,,1.0,B,C,3
0742-6046,Psychology and Marketing,Marketing,,3,2,A,B,3,S,12.1,B,A,2
0743-0167,Journal of Rural Studies,PSM,,,2,,,3,EP,9.8,,,
0743-9156,Journal of Public Policy and Marketing,Marketing,,2,2,A,B,3,P,10.2,B,A,2
0747-4938,Econometric Reviews,Economics,,2,1,A,,3,,1.7,,A,
0747-5632,Computers in Human Behavior,"MIS, KM",,,1,,B,2,EP*,19.1,B,A,3
0748-4526,Negotiation Journal,Gen & Strat,,,1,,,2,,1.8,,B,4
0748-5751,Journal of Accounting Education,Education,,,1,,,2,,4.2,C,B,
0749-5978,Organizational Behavior and Human Decision Processes,"OS/OB,HRM/IR",1,1,2,A,A,4,P*,8.9,A,A*,1
0810-5391,Accounting and Finance,F&A,,3,1,B,B,2,S,5.1,B,A,3
0823-9150,Contemporary Accounting Research,F&A,1,2,2,A,A,4,P*,6.2,A+,A*,1
0825-0383,Canadian Journal of Administrative Sciences,Multidisciplinary,,,1,B,,2,,3.4,,B,2
0882-6110,Advances in Accounting,F&A,,4,1,B,,2,,2.5,B,A,3
0883-7252,Journal of Applied Econometrics,Economics,,1,2,A,,3,,3.7,,A*,
0883-9026,Journal of Business Venturing,Entrep,1,1,2,A,A,4*,P*,16.7,A,A*,1*
0885-3134,Journal of Personal Selling and Sales Management,Marketing,,4,1,B,,2,,5.7,B,A,3
0885-8624,Journal of Business and Industrial Marketing,Marketing,,3,1,B,,2,,6.6,C,A,3
0887-378X,Milbank Quarterly,PSM,,2,1,A,B,3,EP*,9.6,,B,3
0887-4417,Journal of Computer Information Systems,"MIS, KM",,,1,,,2,,6.8,,A,4
0887-6045,Journal of Services Marketing,Marketing,,3,1,B,B,2,,7.8,C,A,3
0888-4773,Journal of Sport Management,Gen & Strat,,,1,,B,2,,5.8,C,A,4
0888-7985,Journal of Information Systems,F&A,,,1,,,1,,3.9,B,A,4
0888-7993,Accounting Horizons,F&A,,3,2,A,B,3,S,3.8,B,A,2
0889-3268,Journal of Business and Psychology,"OS/OB,HRM/IR",,3,1,B,B,3,EP,8.8,B,A,3
0889-4019,Career Development Quarterly,"OS/OB,HRM/IR",,,2,,,2,,3.8,C,,4
0889-938X,Review of Industrial Organization,Economics,,2,1,A,,2,S,2.1,,A,3
0890-2070,European Journal of Personality,Psychology,,,2,,,,EP*,11.9,,A,
0890-8389,British Accounting Review,F&A,,3,1,B,B,3,S,8.6,B,A*,2
0891-1762,Journal of Global Marketing,Marketing,,,1,,,1,,6.8,C,B,
0891-2424,Economic Development Quarterly,PSM,,2,1,A,,,,2.2,,B,
0891-2432,Gender and Society,PSM,,,2,,B,3,EP*,9.7,B,A*,2
0893-3189,Management Communication Quarterly,Gen & Strat,,4,2,B,B,2,,4.3,,B,4
0893-9454,Review of Financial Studies,F&A,1,1,2,A,A+,4*,P*,16.0,A+,A*,1*
0894-069X,Naval Research Logistics,"OR,MS,POM",,3,1,B,B,3,S,4.2,B,B,
0894-3257,Journal of Behavioral Decision Making,Psychology,,3,1,B,B,3,S,4.4,B,A,2
0894-3796,Journal of Organizational Behavior,"OS/OB,HRM/IR",,2,2,A,A,4,P,10.5,A,A*,1
0894-4865,Family Business Review,"OS/OB,HRM/IR",,2,1,A,B,3,S,12.4,B,A,2
0895-3309,Journal of Economic Perspectives,Economics,,1,1,A,,4,EP*,14.0,A,A*,
0895-562X,Journal of Productivity Analysis,"OR,MS,POM",,3,1,B,B,2,,3.1,C,A,3
0895-5638,Journal of Real Estate Finance and Economics,F&A,,3,1,B,B,3,S,3.8,C,A,3
0895-5646,Journal of Risk and Uncertainty,Economics,,2,2,A,B,3,S,6.3,B,A*,2
0895-6308,Research Technology Management,"OR,MS,POM",,,1,,B,2,S,3.9,C,B,3
0895-9285,Human Performance,"OS/OB,HRM/IR",,,1,B,B,3,,4.3,,A,3
0898-5626,Entrepreneurship and Regional Development,Entrep,,,2,A,B,3,S,7.9,B,A,2
0899-7640,Nonprofit and Voluntary Sector Quarterly,PSM,,3,1,B,B,3,S,5.3,A,A,2
0899-8256,Games and Economic Behavior,Economics,,1,2,A,,3,,1.9,,A*,
0905-0167,Scandinavian Journal of Information Systems,"MIS, KM",,,2,,B,2,,2.0,B,A,4
0920-8550,Journal of Financial Services Research,F&A,,3,2,B,B,3,S,3.0,B,A,3
0921-8009,Ecological Economics,Economics,,1,1,A,B,3,EP*,12.0,B,A,2
0921-898X,Small Business Economics,Entrep,,2,2,A,B,3,P,14.1,B,A,2
0922-680X,Journal of Regulatory Economics,Economics,,2,1,A,,2,,2.4,,A,
0923-0645,Marketing Letters,Marketing,,2,2,A,B,3,P,5.9,B,A,2
0923-4748,Journal of Engineering and Technology Management - JETInnovation,,,3,1,B,B,2,S,8.0,C,B,3
0924-6460,Environmental and Resource Economics,Economics,,2,1,A,,3,EP,10.2,,A,2
0924-865X,Review of Quantitative Finance and Accounting,F&A,,4,1,B,,3,,3.2,B,B,3
0925-5273,International Journal of Production Economics,"OR,MS,POM [Range highest to",,1,2,A,B,3,S,21.4,B,A,2
0925-7535,Safety Science,"OR,MS,POM",,,2,,,2,EP,13.0,,A,3
0926-2644,Group Decision and Negotiation,Gen & Strat,,3,1,B,B,2,S,5.7,B,A,3
0927-5371,Labour Economics,Economics,,2,2,A,B,3,,3.6,B,A*,2
0927-538X,Pacific Basin Finance Journal,F&A,,4,1,B,B,2,S,6.8,C,A,3
0927-5398,Journal of Empirical Finance,F&A,,3,2,A,B,3,P,3.4,B,A,2
0927-5940,International Tax and Public Finance,PSM,,2,1,A,,2,,2.4,B,A,
0929-1199,Journal of Corporate Finance,F&A,,2,2,A,A,4,P,11.8,A,A*,1
0931-8658,Journal of Economics/ Zeitschrift fur Nationalokonomie,Economics,,3,1,B,,2,,1.7,,B,
0932-4569,Journal of Institutional and Theoretical Economics,Economics,,2,1,A,,2,,1.3,B,B,
0933-1433,Journal of Population Economics,Economics,,2,1,A,,3,,9.6,,A*,
0936-9937,Journal of Evolutionary Economics,Economics,,2,1,A,,2,S,3.6,,A,
0938-2259,Economic Theory,Economics,,1,1,A,,3,,2.5,,A*,
0938-8249,Management International Review,IB,,3,1,B,B,3,S,6.5,B,A,3
0949-2984,Finance and Stochastics,F&A,,3,2,A,B,3,S,2.9,B,A,2
0950-0170,"Work, Employment and Society","OS/OB,HRM/IR",,3,2,A,B,4,S,7.9,B,A,2
0950-0804,Journal of Economic Surveys,Economics,,2,1,A,,2,EP,11.3,,A,
0950-3293,Food Quality and Preference,Marketing,,,2,,,,EP,10.4,B,A,4
0950-5849,Information and Software Technology,"MIS, KM",,,2,,,,EP,9.1,,,
0950-7051,Knowledge-Based Systems,"MIS, KM",,,2,,,,EP,14.8,,,4
0951-3558,International Journal of Public Sector Management,PSM,,3,1,B,,1,,5.0,B,B,4
0951-3574,"Accounting, Auditing and Accountability Journal",F&A,,2,1,A,,3,S,9.5,B,A*,2
0951-4848,Health Services Management Research,PSM,,4,1,C,,1,,4.0,C,C,4
0951-5224,Higher Education Quarterly,PSM,,,1,,,2,,4.5,B,C,4
0951-8320,Reliability Engineering and System Safety,"OR,MS,POM",,,1,,B,3,EP,15.2,,A,
0952-1895,Governance,PSM,,3,2,B,B,4,EP,5.7,A,,2
0953-4814,Journal of Organizational Change Management,Gen & Strat,,3,1,B,,2,S,5.8,B,B,3
0953-7287,Production Planning and Control,"OR,MS,POM",,2,2,A,B,3,EP,19.3,B,A,2
0953-7325,Technology Analysis and Strategic Management,Gen & Strat,,3,1,B,,2,S,8.0,C,B,3
0954-0962,Public Money and Management,PSM,,3,1,B,,2,,5.0,C,A,3
0954-1314,Journal of International Financial Management and AccounF&A,,,,1,,,2,,9.1,B,A,
0954-1748,Journal of International Development,Economics,,3,1,B,,2,,2.8,,B,
0954-1985,Economics and Politics,Economics,,3,1,B,,2,,2.4,,A,
0954-5395,Human Resource Management Journal,"OS/OB,HRM/IR",,3,2,A,B,4*,P,11.9,A,A*,1
0955-534X,European Business Review,Gen & Strat,,3,1,B,B,2,,8.3,B,B,3
0956-5221,Scandinavian Journal of Management,Gen & Strat,,3,2,B,B,2,S,4.0,B,B,3
0956-7976,Psychological Science,Psychology,,,2,,,4*,EP*,13.3,A+,A*,2
0957-4093,International Journal of Logistics Management,"OR,MS,POM",,3,1,B,B,1,,12.2,B,A,3
0957-4174,Expert Systems with Applications,"MIS, KM",,3,2,B,B,1,EP*,13.8,B,,3
0957-8765,VOLUNTAS,"PSM OS/OB,",,,1,C,,2,,5.1,B,B,4
0958-5192,International Journal of Human Resource Management,HRM/IR IB,,3,2,A,B,3,S,11.7,A,A,2
0958-9287,Journal of European Social Policy,PSM,,,2,,,3,,5.8,B,,3
0959-0552,International Journal of Retail and Distribution ManagemenMarketing,,,3,1,B,B,2,,8.6,C,A,3
0959-3845,Information Technology and People,"MIS, KM",,3,2,B,B,3,,8.2,,A,2
0959-3969,"International Review of Retail, Distribution and Consumer Marketing",,,,1,,,1,,6.9,C,B,
0959-6119,International Journal of Contemporary Hospitality ManagemTourism,,,3,1,B,,3,EP,16.9,,A,3
0959-6801,European Journal of Industrial Relations,"OS/OB,HRM/IR",,3,2,B,B,3,S,6.2,B,A,3
0960-0035,"International Journal of Physical Distribution and Logistics MOR,MS,POM",,,2,1,A,B,2,S,11.2,B,A,2
0960-085X,European Journal of Information Systems,"MIS, KM",,1,2,A,A,4,P,23.1,A,A*,1*
0960-1627,Mathematical Finance,F&A,,2,2,A,B,3,S,4.1,B,A,2
0960-3107,Applied Financial Economics,Economics,,4,1,C,,2,,N/A,C,B,4
0960-6491,Industrial and Corporate Change,Economics,,1,2,A,B,3,P,5.1,B,A,2
0962-8770,"Business Ethics, the Environment & Reponsibility","OS/OB,HRM/IR",,4,1,B,,2,S,N/A,B,B,3
0963-1690,Creativity and Innovation Management,Innovation,,3,2,B,B,2,,7.7,B,B,3
0963-1798,Journal of Occupational and Organizational Psychology,"OS/OB,HRM/IR",,2,2,A,B,4,P,8.9,B,A*,2
0963-6625,Public Understanding of Science,Innovation,,,2,,,,EP*,7.3,,,
0963-8008,"Financial Markets, Institutions and Instruments",F&A,,3,1,B,,3,,1.8,B,A,3
0963-8180,European Accounting Review,F&A [Range highest to,,2,2,A,B,3,P,7.0,A,A*,2
0963-8687,Journal of Strategic Information Systems,"MIS, KM",,2,2,A,A,4,S,17.4,A,A*,1
0963-9284,Accounting Education,Education,,,1,,,2,,8.0,B,A,
0964-4733,Business Strategy and the Environment,Gen & Strat,,4,1,B,B,3,EP*,22.5,B,A,3
0964-8410,Corporate Governance: An International Review,IB,,3,1,B,B,3,S,7.0,B,A,3
0965-075X,International Journal of Selection and Assessment,"OS/OB,HRM/IR",,,1,C,B,2,S,4.1,B,A,3
0965-254X,Journal of Strategic Marketing,Marketing,,4,1,C,,2,,9.2,C,A,4
0965-4313,European Planning Studies,PSM,,,1,,,2,,7.2,,,
0965-7576,Review of International Economics,Economics,,2,1,A,,2,,1.9,,A,
0965-8564,Transportation Research Part A: Policy and Practice,"OR,MS,POM",,2,2,A,A,3,S,13.2,B,A*,2
0966-0410,Health and Social Care in the Community,PSM,,,1,,,2,EP,4.5,,,
0966-6923,Journal of Transport Geography,"OR,MS,POM",,,2,,B,2,S,11.5,B,A,3
0966-8136,Europe-Asia Studies,IB,,3,2,B,,2,,2.6,,B,4
0966-9582,Journal of Sustainable Tourism,Tourism,,,1,B,,3,EP,23.1,,A*,3
0967-070X,Transport Policy,"OR,MS,POM",,3,2,B,B,2,EP,12.1,B,A,3
0967-0750,Economics of Transition,Economics,,2,1,A,,2,,N/A,,A,
0967-2567,European Journal of the History of Economic Thought,Economics,,1,1,A,,2,,1.5,,B,3
0967-5426,Journal of Applied Accounting Research,F&A,,3,1,B,,2,,6.0,C,B,3
0968-090X,Transportation Research Part C: Emerging Technologies,"OR,MS,POM",,,2,,,,S,15.8,B,A*,
0968-6673,"Gender, Work and Organization","OS/OB,HRM/IR",,3,2,B,B,3,EP*,11.5,B,A,2
0969-5931,International Business Review,IB,,2,2,A,B,3,S,14.1,B,A,2
0969-6016,International Transactions in Operational Research,"OR,MS,POM",,3,1,B,,1,,7.8,B,B,4
0969-6989,Journal of Retailing and Consumer Services,Marketing,,3,1,B,B,2,S,20.4,B,A,3
1011-6702,Journal of World Trade,Economics,,4,2,C,,2,,1.7,,B,
1014-9562,Transnational Corporations,"Economics, IB",,,1,,,2,,4.5,C,,
1018-5895,Geneva Papers on Risk and Insurance: Issues and Practic Economics,,,3,1,B,,2,,3.9,B,B,3
1019-6781,Electronic Markets,"MIS, KM",,3,1,B,B,2,,14.8,B,A,3
1024-5294,Competition and Change,Sociology,,3,1,B,,2,,7.2,,B,3
1030-9616,Accounting Research Journal,F&A,,,1,,,2,,5.0,C,B,4
1032-3732,Accounting History,F&A,,3,1,B,,2,,2.2,B,A,3
1035-6908,Australian Accounting Review,F&A,,,1,,,2,,6.3,B,B,3
1038-4111,Asia Pacific Journal of Human Resources,"OS/OB,HRM/IR",,4,1,C,,2,,7.2,C,A,4
1041-4347,IEEE Transactions on Knowledge and Data Engineering,"MIS, KM",,,2,A,,,P,11.7,,,3
1042-2587,Entrepreneurship Theory and Practice,Entrep,1,1,2,A,A,4*,P,19.0,A,A*,1*
1042-4431,"Journal of International Financial Markets, Institutions and F&A",,,3,1,B,B,3,S,6.6,B,A,3
1042-444X,Journal of Multinational Financial Management,F&A,,4,1,C,,2,,7.3,,B,4
1042-9573,Journal of Financial Intermediation,F&A,,2,2,A,A,4,P,8.6,A,A*,1
1043-8599,Economics of Innovation and New Technology,Entrep,,3,1,B,,2,,7.2,C,B,3
1043-951X,China Economic Review,Economics,,2,1,A,,2,EP,10.6,,A,
1044-0283,Global Finance Journal,F&A,,,1,C,,2,,7.3,C,A,4
1044-4068,International Journal of Conflict Management,Gen & Strat,,,1,,,2,,4.8,,A,
1044-5005,Management Accounting Research,F&A,,1,2,A,A,3,,7.1,A,A*,2
1044-8004,Human Resource Development Quarterly,"OS/OB,HRM/IR",,,1,,,2,EP,7.6,C,A,4
1045-2354,Critical Perspectives on Accounting,F&A,,2,1,A,B,3,EP,9.4,B,A,2
1045-3172,British Journal of Management,Gen & Strat,,2,2,A,B,4,S,10.0,B,A*,2
1046-4964,Small Group Research,"OS/OB,HRM/IR",,,1,,,2,,6.7,,A,3
1046-8188,ACM Transactions on Information Systems,"MIS, KM",,,2,,B,,S,9.4,B,C,
1047-7039,Organization Science,"OS/OB,HRM/IR",1,1,2,A,A+,4*,P*,7.9,A+,A*,1*
1047-7047,Information Systems Research,"MIS, KM",1,1,2,A,A+,4*,P*,9.1,A+,A*,1*
1047-8310,Journal of High Technology Management Research,Innovation,,4,1,C,,2,,5.8,,,4
1048-6682,Nonprofit Management and Leadership,PSM,,,1,,,1,,4.5,B,B,4
1048-9843,Leadership Quarterly,"OS/OB,HRM/IR",,2,2,A,A,4,P,15.2,A,A*,1
1049-0078,Journal of Asian Economics,Economics,,4,1,C,,1,,4.7,,B,
1049-2127,Journal of Management Accounting Research,F&A,,3,1,B,B,2,,2.9,A,A*,3
1049-3301,ACM Transactions on Modeling and Computer Simulation,"MIS, KM",,,1,,,3,,2.5,,B,
1050-3293,Communication Theory,Comm,,,2,,,,,9.0,,A,
1050-4753,Behavioral Research in Accounting,F&A,,3,2,B,B,3,,3.7,B,A,3
1051-1377,Journal of Housing Economics,Economics [Range highest to,,2,1,A,,2,,3.3,,A,
1051-712X,Journal of Business-to-Business Marketing,Marketing,,4,2,C,B,1,S,2.2,C,B,4
1052-0457,Research in Accounting Regulation,F&A,,,,,,2,,N/A,C,,
1052-150X,Business Ethics Quarterly,"OS/OB,HRM/IR",,2,1,A,B,3,EP,6.2,A,A,2
1052-5629,Journal of Management Education,Education,,,1,,,2,,4.1,C,B,3
1052-6234,SIAM Journal on Optimization,"OR,MS,POM",,,2,,,3,EP,5.3,,,
1053-1858,Journal of Public Administration Research and Theory,PSM,,1,2,A,A,4,EP*,8.5,A,A,2
1053-4822,Human Resource Management Review,"OS/OB,HRM/IR",,3,2,A,B,3,P,20.2,A,A,2
1053-8372,Journal of the History of Economic Thought,Economics,,2,1,A,,2,,1.3,,B,
1054-8408,Journal of Travel and Tourism Marketing,Tourism,,3,1,B,,2,EP,13.5,,A,3
1056-4926,Journal of Management Inquiry,Gen & Strat,,3,1,A,B,3,S,8.3,B,A,2
1056-8190,Papers in Regional Science,Economics,,2,1,A,,3,,4.4,,A,3
1057-5219,International Review of Financial Analysis,F&A,,3,1,B,B,3,EP,10.3,B,A,3
1057-7408,Journal of Consumer Psychology,Marketing,1,1,1,A,A,4*,P*,8.4,A,A*,1
1057-9214,Journal of Multi-Criteria Decision Analysis,"OR,MS,POM",,4,1,C,,1,,4.7,B,B,
1057-9230,Health Economics (United Kingdom),Economics,,1,2,A,B,3,,3.6,A,A*,2
1058-0530,Information Systems Management,"MIS, KM",,,2,,,2,,14.6,B,A,4
1058-3300,Review of Financial Economics,F&A,,4,1,C,,1,,2.8,B,B,4
1058-4609,Political Communication,Comm,,,2,,,,EP*,13.9,,A,
1058-6407,Journal of Economics and Management Strategy,Economics,,1,2,A,B,2,P,3.2,B,A,2
1059-0560,International Review of Economics and Finance,Economics,,,1,C,,2,,7.3,C,A,3
1059-1478,Production and Operations Management,"OR,MS,POM",1,,2,A,A,4,P*,7.5,A,A*,1
1059-6011,Group and Organization Management,"OS/OB,HRM/IR",,3,2,A,B,3,S,8.4,B,A,2
1059-8596,Journal of Fixed Income,F&A,,3,1,B,B,2,,1.1,B,A,3
1061-0421,Journal of Product and Brand Management,Marketing,,4,1,B,,1,,10.9,C,A,4
1061-8600,Journal of Computational and Graphical Statistics,Economics,,,2,,,3,,3.5,,A*,
1061-9518,"Journal of International Accounting, Auditing and Taxation F&A",,,,1,,,3,,4.5,B,B,3
1062-7375,Journal of Global Information Management,"MIS, KM",,3,1,B,,2,,5.8,,A,3
1062-9769,Quarterly Review of Economics and Finance,Economics,,3,1,B,,2,,6.0,B,B,3
1063-8016,Journal of Database Management,"MIS, KM",,,2,,,1,,4.2,,A,4
1066-2243,Internet Research,"MIS, KM",,,2,,B,3,EP,11.2,B,A,3
1069-031X,Journal of International Marketing,Marketing,,2,2,A,B,3,S,8.7,B,A,2
1069-6679,Journal of Marketing Theory and Practice,Marketing,,4,1,C,,1,,6.8,B,B,4
1070-5511,Structural Equation Modeling,Marketing,,,1,,,,EP*,8.7,B,A,
1071-5819,International Journal of Human Computer Studies,"OR,MS,POM",,3,2,B,B,2,S,11.5,,B,3
1072-5245,International Journal of Stress Management,"Psych, OS/OB",,,1,,,2,,5.9,,A,4
1073-0516,ACM Transactions on Computer-Human Interaction,"MIS, KM",,4,2,B,B,,,8.5,B,,2
1074-1240,Journal of Derivatives,F&A,,3,1,B,B,2,S,1.3,B,A,3
1075-4253,Journal of International Management,IB,,3,2,B,B,3,S,9.8,B,A,2
1075-5470,Science Communication,Comm,,,2,,,,EP,13.5,,A,
1076-898X,Journal of Experimental Psychology: Applied,Psychology,,,1,,,4,,4.9,,A,
1076-8998,Journal of Occupational Health Psychology,Psychology,,,2,B,,4,EP*,8.2,B,A,2
1076-9307,International Journal of Finance and Economics,F&A,,3,1,B,,3,,5.7,,B,3
1078-1196,Journal of Applied Corporate Finance,F&A,,,1,,,1,,N/A,B,A,4
1080-8620,Real Estate Economics,Economics,,3,1,B,,3,S,4.0,B,A,3
1082-989X,Psychological Methods,Psychology,,,2,,,,EP*,13.1,A,B,
1083-5423,Tourism Analysis,Tourism,,,1,,,2,,2.5,,A,4
1086-0266,Organization and Environment,Gen & Strat,,2,2,A,B,3,P,11.2,B,A,2
1086-1718,Strategic Change,Gen & Strat,,4,,C,,2,,6.7,B,,4
1086-4415,International Journal of Electronic Commerce,"MIS, KM",,2,1,A,B,3,P,7.2,B,A,2
1088-1980,Journal of Industrial Ecology,Economics,,,2,,,2,EP,11.6,A,,3
1089-2699,Group Dynamics,Gen & Strat,,3,1,B,,2,,6.5,,B,3
1090-6738,International Journal of Auditing,F&A,,3,1,B,,2,,3.7,B,A,3
1090-9516,Journal of World Business,IB,,1,2,A,A,4,P,16.5,A,A*,1
1091-1421,Public Finance Review,Economics,,4,1,C,,,,1.3,B,B,
1091-9392,"Journal of Organizational Computing and Electronic Comm MIS, KM",,,,1,,,1,,5.8,C,A,4
1091-9856,INFORMS Journal on Computing,"OR,MS,POM",,,2,,,3,P*,4.2,A,A,
1092-0277,North American Actuarial Journal,F&A [Range highest to,,4,1,B,,2,,2.8,B,A,3
1092-4604,Knowledge and Process Management,"OR,MS,POM",,,1,C,,1,,7.1,,B,4
1094-1665,Asia Pacific Journal of Tourism Research,Tourism,,,1,,,1,,7.7,,A,
1094-2025,Review of Economic Dynamics,Economics,,2,2,A,,3,,3.3,,A*,
1094-4060,International Journal of Accounting,F&A,,3,1,B,B,3,,1.2,B,A,3
1094-4281,Organizational Research Methods,Gen & Strat,,2,2,A,A,4,P,23.2,A,A*,1
1094-6136,Journal of Scheduling,"OR,MS,POM",,3,2,B,B,1,S,3.8,A,B,
1094-6705,Journal of Service Research,Marketing,,2,2,A,A,4,P,20.3,A,A*,1
1094-9968,Journal of Interactive Marketing,Marketing,,2,2,A,B,3,P,20.2,B,A,2
1096-3480,Journal of Hospitality and Tourism Research,Tourism,,,1,,,2,,10.1,,A,3
1096-4762,Thunderbird International Business Review,IB,,4,1,C,,2,,4.3,B,B,3
1097-3923,Journal of Public Economic Theory,Economics,,2,1,A,,2,,2.3,B,A,
1099-2340,International Journal of Tourism Research,Tourism,,,1,,,2,,9.0,,A,3
1121-7081,Labour,Economics,,3,1,B,,1,,1.3,B,B,
1176-6093,Qualitative Research in Accounting and Management,F&A,,4,1,C,,2,,4.5,B,A,3
1229-4659,International Review of Public Administration,PSM,,4,2,C,,1,,2.0,C,B,4
1262-2788,Comptabilité - Contrôle - Audit,F&A,,2,,A,,,,1.7,,B,2
1286-4692,M@n@gement,Gen & Strat,,2,1,A,,1,,N/A,B,B,2
1350-1763,Journal of European Public Policy,PSM,,,2,,B,3,EP*,8.8,A,A,2
1350-178X,Journal of Economic Methodology,Economics,,2,1,A,,2,,3.2,,B,
