issn,journal,subject,ft2016,cnrs2020,den2021,hceres2021,meta2023,ajg_abs2024,ejl2024,scopus2024,vhb2024,abdc2025,fnege2025
0022-4065,Journal of Quality Technology,"MIS, KM",,2,2,A,B,,EP,5.2,,A,3
0022-4146,Journal of Regional Science,Economics,,2,1,A,,3,,4.9,,A,
0022-4359,Journal of Retailing,Marketing,,2,2,A,A,4,P,15.9,A,A*,1
0022-4367,Journal of Risk and Insurance,F&A,,2,2,A,B,3,S,3.5,A,A,2
0022-4537,Journal of Social Issues,Sociology,,,2,,,,EP,9.7,,A,
0022-5258,Journal of Transport Economics and Policy,Economics [Range highest to,,3,1,B,,1,,1.5,,B,4
0023-5962,Kyklos,Economics,,2,1,A,B,2,,2.9,B,A,3
0023-656X,Labor History,"OS/OB,HRM/IR",,4,2,C,B,2,,1.0,,A,4
0023-6942,Labour History,Gen & Strat,,4,1,C,,,,0.5,,A,4
0023-7639,Land Economics,Economics,,2,1,A,,3,,2.6,,A,3
0024-6301,Long Range Planning,Gen & Strat,,2,2,A,B,4,P,13.0,B,A*,1
0025-1747,Management Decision,Gen & Strat,,4,1,B,,2,,8.2,B,B,3
0025-1909,Management Science,"OR,MS,POM",1,1*,2,A,A+,4*,P*,8.8,A+,A*,1*
0025-5610,Mathematical Programming,"OR,MS,POM",,,2,,,4,EP*,5.7,A,,
0027-3171,Multivariate Behavioral Research,Psychology,,,1,,,,EP,7.6,B,,
0028-0283,National Tax Journal,Economics,,2,1,A,B,2,,3.4,A,A,
0030-364X,Operations Research,"OR,MS,POM",1,1,2,A,A,4*,P*,4.8,A+,A*,1*
0030-7653,Oxford Economic Papers,Economics,,2,1,A,,3,,2.2,,A,
0031-5826,Personnel Psychology,"OS/OB,HRM/IR",,1,2,A,A,4*,P*,10.2,A,A*,1*
0031-8248,Philosophy of Science,Sociology,,,2,,,,EP,3.1,,,
0032-2687,Policy Sciences,PSM,,,2,,B,1,EP*,9.7,,B,
0032-3292,Politics and Society,PSM,,,2,,B,3,,5.0,,B,
0033-2909,Psychological Bulletin,Psychology,,,2,,,4,EP*,33.6,,A*,
0033-295X,Psychological Review,Psychology,,,2,,,4,EP*,9.7,,A*,
0033-3123,Psychometrika,Psychology,,,2,,,3,,4.4,A,,
0033-3298,Public Administration,PSM,,3,2,B,B,4,S,7.8,A,A,2
0033-3352,Public Administration Review,PSM,,1,2,A,A,4*,S,15.1,A,A,1
0033-362X,Public Opinion Quarterly,Marketing,,,2,,B,3,EP,4.4,,A,
0033-5533,Quarterly Journal of Economics,Economics,1,1*,3,A,,4*,EP*,24.2,A+,A*,
0033-6807,R and D Management,Innovation,,3,2,A,B,3,S,11.3,B,A,2
0034-3404,Regional Studies,PSM,,2,2,A,A,4,EP,9.3,B,A*,2
0034-6527,Review of Economic Studies,Economics,1,1*,3,A,,4*,EP*,10.4,A+,A*,
0034-6535,Review of Economics and Statistics,Economics,,1,2,A,,4,EP*,8.5,A,A*,
0034-6764,Review of Social Economy,Economics,,3,1,B,,2,,2.6,,B,
0036-1445,SIAM review,"OR,MS,POM",,,2,,,,EP*,16.9,,,
0036-9292,Scottish Journal of Political Economy,Economics,,3,1,B,,2,,1.8,,A,
0037-7791,Social Problems,Sociology,,,2,,,,EP,7.6,,A,
0038-0121,Socio-Economic Planning Sciences,Economics,,,1,,,2,EP,9.4,,C,4
0038-0261,Sociological Review,Sociology,,,2,,,3,EP,4.2,,A,
0038-0385,Sociology,Sociology,,,2,,,4,EP,5.5,,A*,2
0038-4038,Southern Economic Journal,Economics,,2,1,A,,2,,3.2,,A,
0040-1625,Technological Forecasting and Social Change,Innovation,,2,1,A,B,3,S,21.3,B,A,2
0040-1706,Technometrics,"OR,MS,POM",,,2,,,,EP,4.5,,A,
0040-5833,Theory and Decision,"OR,MS,POM",,2,1,A,B,2,,1.6,,A,
0041-0020,Town Planning Review,PSM,,,2,,,2,,3.4,,,
0041-1655,Transportation Science,"OR,MS,POM",,2,2,A,B,3,P*,8.3,A,A*,
0042-0980,Urban Studies,PSM,,2,2,A,A,3,EP,10.5,B,A*,2
0044-2372,Journal of Business Economics,Gen & Strat,,,1,,,2,,4.5,B,B,
0046-2772,European Journal of Social Psychology,Psychology,,,2,,,3,,6.1,,A,
0046-3892,Financial Management,F&A,,2,2,A,B,3,P,6.0,B,A*,2
0047-2506,Journal of International Business Studies,IB,1,1,2,A,A+,4*,P*,16.2,A,A*,1*
0047-259X,Journal of Multivariate Analysis,"OR,MS,POM",,,2,,B,3,,2.4,,A,
0047-2727,Journal of Public Economics,Economics,,1,2,A,A,3,EP,14.1,A,A*,1
0047-2778,Journal of Small Business Management,Entrep,,2,2,A,B,3,S,11.4,B,A,2
0047-2794,Journal of Social Policy,PSM,,,2,,B,3,EP,4.4,,A,
0047-2875,Journal of Travel Research,Tourism,,4,1,A,,4,EP*,18.9,B,A*,2
0048-3486,Personnel Review,"OS/OB,HRM/IR",,3,1,B,B,2,S,7.1,B,A,3
0048-5829,Public Choice,PSM,,1,2,A,B,3,,3.6,,A,
0048-7333,Research Policy,Economics,1,1,2,A,A,4*,P*,12.8,A,A*,1*
0049-089X,Social Science Research,Sociology,,,2,,,3,,4.3,,,
0049-1241,Sociological Methods and Research,Sociology,,,2,B,,,EP*,16.3,,,4
0049-4488,Transportation,"OR,MS,POM",,,2,,B,2,S,10.7,B,A,3
0066-4308,Annual Review of Psychology,Psychology [Range highest to,,,2,,,4,EP*,47.3,,A*,
0066-4812,Antipode,Sociology,,,2,,,3,EP,9.5,,,
